nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.71;0.00;0.00;0.00;
6;0.57;0.00;0.00;0.00;
7;0.58;0.00;0.00;0.00;
8;1.40;0.00;0.00;0.00;
9;16.27;0.00;0.00;0.00;
10;129.80;0.00;0.09;0.20;
11;209.62;0.01;1.28;2.00;
12;173.54;0.07;6.55;11.60;
13;186.04;0.08;8.16;14.20;
5;0.58;0.00;0.00;0.00;
6;0.58;0.00;0.00;0.00;
7;1.24;0.00;0.00;0.00;
8;2.73;0.00;0.00;0.00;
9;27.88;0.00;0.00;0.00;
10;145.10;0.00;0.30;6.00;
11;172.96;0.01;0.54;15.00;
12;208.83;0.01;0.58;22.00;
13;185.75;0.01;0.80;40.00;
17;211.89;1.36;135.58;104.40;
34;282.91;1.39;138.85;1785.60;
65;257.42;2.79;279.08;5132.20;
100;532.30;3.24;324.02;117393.60;
171;496.82;7.18;718.23;19787.20;
14;288.04;0.14;14.50;481.80;
29;290.52;0.95;95.20;1532.80;
100;294.31;5.38;537.57;114405.40;
137;411.18;6.53;653.32;456366.80;
150;475.74;7.03;702.88;183661.80;
200;532.26;8.66;865.83;254874.40;
nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 10000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.48;0.00;0.00;0.00;
6;0.60;0.00;0.00;0.00;
7;0.62;0.00;0.00;0.00;
8;1.54;0.00;0.00;0.00;
9;48.05;0.00;0.00;0.00;
10;105.49;0.00;0.09;0.20;
11;159.38;0.02;1.79;2.80;
12;191.67;0.06;5.76;10.20;
13;165.37;0.11;10.69;18.60;
5;0.59;0.00;0.00;0.00;
6;0.58;0.00;0.00;0.00;
7;1.06;0.00;0.00;0.00;
8;2.79;0.00;0.00;0.00;
9;30.10;0.00;0.00;0.00;
10;116.33;0.00;0.30;6.00;
11;188.50;0.01;0.58;16.00;
12;144.97;0.01;0.85;32.00;
13;181.81;0.01;0.80;40.00;
17;193.17;1.47;147.27;113.40;
34;273.15;1.35;134.68;1732.00;
65;312.02;2.83;282.50;5195.20;
100;384.29;3.19;318.92;115545.40;
171;558.08;7.31;731.30;20147.20;
14;251.51;0.15;15.25;506.80;
29;203.20;0.93;92.65;1491.60;
100;388.57;5.25;524.75;111677.60;
137;375.61;6.54;653.94;456795.80;
150;505.14;7.10;709.96;185512.80;
200;636.24;8.59;858.78;252799.40;
nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 100000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.55;0.00;0.00;0.00;
6;0.45;0.00;0.00;0.00;
7;0.60;0.00;0.00;0.00;
8;1.21;0.00;0.00;0.00;
9;34.08;0.00;0.00;0.00;
10;43.60;0.00;0.00;0.00;
11;188.92;0.02;1.67;2.60;
12;236.92;0.05;4.63;8.20;
13;290.50;0.07;6.67;11.60;
5;0.59;0.00;0.00;0.00;
6;0.58;0.00;0.00;0.00;
7;1.49;0.00;0.00;0.00;
8;10.69;0.00;0.00;0.00;
9;26.68;0.00;0.00;0.00;
10;97.93;0.00;0.30;6.00;
11;165.83;0.00;0.47;13.00;
12;173.94;0.01;0.72;27.00;
13;193.59;0.01;0.76;38.00;
